from_window_size,to_window_size,from_feature_id,to_feature_id,from_interval,to_interval,from_center,to_center,center_delta,overlap_lines,overlap_ratio_from,overlap_ratio_to,relation_type,boundary_note
50,75,50_feature_001,75_feature_001,1-47,1-72,24.0,36.5,12.5,47,1.0,0.653,merges,interval_overlap_relation_not_identity_proof
50,75,50_feature_002,75_feature_001,51-100,1-72,75.5,36.5,-39.0,22,0.44,0.306,splits,interval_overlap_relation_not_identity_proof
50,75,50_feature_002,75_feature_002,51-100,76-150,75.5,113.0,37.5,25,0.5,0.333,splits,interval_overlap_relation_not_identity_proof
50,75,50_feature_003,75_feature_002,101-150,76-150,125.5,113.0,-12.5,50,1.0,0.667,merges,interval_overlap_relation_not_identity_proof
50,75,50_feature_004,75_feature_003,151-200,151-209,175.5,180.0,4.5,50,1.0,0.847,merges,interval_overlap_relation_not_identity_proof
50,75,50_feature_005,75_feature_003,201-215,151-209,208.0,180.0,-28.0,9,0.6,0.153,merges,interval_overlap_relation_not_identity_proof
50,75,50_feature_010,75_feature_007,1801-1806,1801-1807,1803.5,1804.0,0.5,6,1.0,0.857,continues,interval_overlap_relation_not_identity_proof
50,75,50_feature_012,75_feature_008,1951-1953,1951-1953,1952.0,1952.0,0.0,3,1.0,1.0,continues,interval_overlap_relation_not_identity_proof
50,75,50_feature_006,,251-260,,255.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
50,75,50_feature_007,,551-554,,552.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
50,75,50_feature_008,,1701-1702,,1701.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
50,75,50_feature_009,,1751-1754,,1752.5,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
50,75,50_feature_011,,1851-1851,,1851.0,,,0,0,0,disappears,no_interval_overlap_at_next_constitution
50,75,,75_feature_004,,226-241,,233.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
50,75,,75_feature_005,,526-529,,527.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
50,75,,75_feature_006,,1726-1731,,1728.5,,0,0,0,appears,no_interval_overlap_from_prior_constitution
