window_size,left_center,right_center,left_width,right_width,pair_separation,width_ratio,pair_relation,balance_relation,midpoint,null_zone_relation
50,24.0,75.5,47,50,51.5,1.064,tight_pair,balanced,49.75,outside_null_zone
50,75.5,125.5,50,50,50.0,1.0,tight_pair,balanced,100.5,outside_null_zone
50,125.5,175.5,50,50,50.0,1.0,tight_pair,balanced,150.5,outside_null_zone
50,175.5,208.0,50,15,32.5,3.333,tight_pair,left_dominant,191.75,outside_null_zone
50,208.0,255.5,15,10,47.5,1.5,tight_pair,left_dominant,231.75,outside_null_zone
50,255.5,552.5,10,4,297.0,2.5,wide_pair,left_dominant,404.0,outside_null_zone
50,552.5,1701.5,4,2,1149.0,2.0,wide_pair,left_dominant,1127.0,circles_null_zone
50,1701.5,1752.5,2,4,51.0,2.0,tight_pair,right_dominant,1727.0,outside_null_zone
50,1752.5,1803.5,4,6,51.0,1.5,tight_pair,right_dominant,1778.0,outside_null_zone
50,1803.5,1851.0,6,1,47.5,6.0,tight_pair,left_dominant,1827.25,outside_null_zone
50,1851.0,1952.0,1,3,101.0,3.0,moderate_pair,right_dominant,1901.5,outside_null_zone
75,36.5,113.0,72,75,76.5,1.042,tight_pair,balanced,74.75,outside_null_zone
75,113.0,180.0,75,59,67.0,1.271,tight_pair,left_dominant,146.5,outside_null_zone
75,180.0,233.5,59,16,53.5,3.688,tight_pair,left_dominant,206.75,outside_null_zone
75,233.5,527.5,16,4,294.0,4.0,wide_pair,left_dominant,380.5,outside_null_zone
75,527.5,1728.5,4,6,1201.0,1.5,wide_pair,right_dominant,1128.0,circles_null_zone
75,1728.5,1804.0,6,7,75.5,1.167,tight_pair,balanced,1766.25,outside_null_zone
75,1804.0,1952.0,7,3,148.0,2.333,moderate_pair,left_dominant,1878.0,outside_null_zone
100,49.0,150.5,97,100,101.5,1.031,moderate_pair,balanced,99.75,outside_null_zone
100,150.5,213.0,100,25,62.5,4.0,tight_pair,left_dominant,181.75,outside_null_zone
100,213.0,502.5,25,4,289.5,6.25,wide_pair,left_dominant,357.75,outside_null_zone
100,502.5,1703.5,4,6,1201.0,1.5,wide_pair,right_dominant,1103.0,circles_null_zone
100,1703.5,1804.0,6,7,100.5,1.167,moderate_pair,balanced,1753.75,outside_null_zone
100,1804.0,1902.0,7,3,98.0,2.333,moderate_pair,left_dominant,1853.0,outside_null_zone
150,74.0,188.0,147,75,114.0,1.96,moderate_pair,left_dominant,131.0,outside_null_zone
150,188.0,452.5,75,4,264.5,18.75,wide_pair,left_dominant,320.25,outside_null_zone
150,452.5,1653.5,4,6,1201.0,1.5,wide_pair,right_dominant,1053.0,circles_null_zone
150,1653.5,1804.0,6,7,150.5,1.167,moderate_pair,balanced,1728.75,outside_null_zone
150,1804.0,1952.0,7,3,148.0,2.333,moderate_pair,left_dominant,1878.0,outside_null_zone
200,99.0,213.0,197,25,114.0,7.88,moderate_pair,left_dominant,156.0,outside_null_zone
200,213.0,402.5,25,4,189.5,6.25,moderate_pair,left_dominant,307.75,outside_null_zone
200,402.5,1603.5,4,6,1201.0,1.5,wide_pair,right_dominant,1003.0,circles_null_zone
200,1603.5,1805.5,6,10,202.0,1.667,moderate_pair,right_dominant,1704.5,outside_null_zone
250,106.5,255.5,212,10,149.0,21.2,moderate_pair,left_dominant,181.0,outside_null_zone
250,255.5,502.5,10,4,247.0,2.5,moderate_pair,left_dominant,379.0,outside_null_zone
250,502.5,1501.5,4,2,999.0,2.0,wide_pair,left_dominant,1002.0,circles_null_zone
250,1501.5,1757.5,2,14,256.0,7.0,wide_pair,right_dominant,1629.5,outside_null_zone
350,111.5,352.5,222,4,241.0,55.5,moderate_pair,left_dominant,232.0,outside_null_zone
350,352.5,1401.5,4,2,1049.0,2.0,wide_pair,left_dominant,877.0,circles_null_zone
350,1401.5,1757.5,2,14,356.0,7.0,wide_pair,right_dominant,1579.5,outside_null_zone
500,111.5,502.5,222,4,391.0,55.5,wide_pair,left_dominant,307.0,outside_null_zone
500,502.5,1508.5,4,16,1006.0,4.0,wide_pair,right_dominant,1005.5,circles_null_zone
750,113.5,1508.5,226,16,1395.0,14.125,wide_pair,left_dominant,811.0,circles_null_zone
1000,113.5,1008.5,226,16,895.0,14.125,wide_pair,left_dominant,561.0,outside_null_zone
