terrain_id,candidate_id,bin_size,span_start,span_end,bin_count,active_bin_count,quiet_bin_count,distributed_low_count,localized_deformation_count,dense_deformation_count,dominant_localization_class,candidate_type,boundary_note
rr_4001_bin_500,candidate_0001,500,1001,1500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0002,500,6501,7000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0003,500,7501,8500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0004,500,11501,13500,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0005,500,18001,18500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0006,500,19001,19500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0007,500,20501,21000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0008,500,21501,22500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0009,500,27501,28500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0010,500,29001,29500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0011,500,30501,31000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0012,500,31501,32500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0013,500,34001,34500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0014,500,37501,38000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0015,500,39001,39500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0016,500,40001,40500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0017,500,43001,46000,6,6,0,6,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0018,500,46501,49500,6,6,0,6,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0019,500,50001,50500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0020,500,51001,51500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0021,500,53001,53500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0022,500,55001,57000,4,4,0,4,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0023,500,62001,62500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0024,500,65001,65500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0025,500,66501,67000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0026,500,69001,69500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0027,500,70001,70500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0028,500,72001,73500,3,3,0,3,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0029,500,74501,75000,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0030,500,75501,76500,2,2,0,2,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0031,500,79001,79500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0032,500,80001,80500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0033,500,81001,81500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0034,500,82001,82500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
rr_4001_bin_500,candidate_0035,500,83001,83500,1,1,0,1,0,0,distributed_low,distributed_corridor_candidate,quiet_bins_break_groups
