family_name,terrain_member,source_path,estimated_status,notes
apache,Apache_residual_temporal_001_out,src/LOG_STRUCTURE_SURFACE_V0/Apache_residual_temporal_001_out,partial,generated material present; source log unclear
apache,apache_comparison_basin_001,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001,partial,generated material present; source log unclear
apache,baseline_loghub_apache,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001/baseline_loghub_apache,partial,generated material present; source log unclear
apache,scan_acunetix,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001/scan_acunetix,partial,generated material present; source log unclear
apache,scan_netsparker,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001/scan_netsparker,partial,generated material present; source log unclear
apache,scan_w3af,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001/scan_w3af,partial,generated material present; source log unclear
apache,window_100_exploration,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/apache_comparison_basin_001/window_100_exploration,unknown,family-like path found; source/generated status unclear
apache,traversal_comparison_surface_001,src/LOG_STRUCTURE_SURFACE_V0/comparison_packets/traversal_comparison_surface_001,partial,generated material present; source log unclear
apache,operator_workbench_v1_001,src/LOG_STRUCTURE_SURFACE_V0/product_packets/operator_workbench_v1_001,partial,generated material present; source log unclear
apache,repeated_contact_panel_apache_001,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_panel_apache_001,partial,generated material present; source log unclear
apache,apache_baseline_slice_A,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_panel_apache_001/apache_baseline_slice_A,partial,generated material present; source log unclear
apache,apache_baseline_slice_B,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_panel_apache_001/apache_baseline_slice_B,partial,generated material present; source log unclear
apache,apache_baseline_slice_C,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_panel_apache_001/apache_baseline_slice_C,partial,generated material present; source log unclear
apache,apache_baseline_A,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_baseline_A,partial,generated material present; source log unclear
apache,apache_baseline_B,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_baseline_B,partial,generated material present; source log unclear
apache,apache_baseline_C,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_baseline_C,partial,generated material present; source log unclear
apache,apache_variant_acunetix,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_variant_acunetix,partial,generated material present; source log unclear
apache,apache_variant_baseline,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_variant_baseline,partial,generated material present; source log unclear
apache,apache_variant_netsparker,src/LOG_STRUCTURE_SURFACE_V0/repeated_contact_visual_panel_001/apache_variant_netsparker,partial,generated material present; source log unclear
