"window_size","window_index","line_start","line_end","climate","enclosure_share","edge_share","middle_share","residual_share","diversity_share","edge_margin","edge_to_bracketed_ratio","local_topology"
"1000","1","1","1000","quietly_consolidated","0.94","0.051","0.003","0.006","0.102","-0.889","0.054","ordinary"
"1000","2","1001","2000","quietly_consolidated","0.79","0.162","0.03","0.018","0.217","-0.628","0.205","ordinary"
"1000","3","2001","3000","enclosure_dominant","0.644","0.258","0.073","0.025","0.34","-0.386","0.401","ordinary"
"1000","4","3001","4000","quietly_consolidated","0.788","0.147","0.05","0.015","0.268","-0.641","0.187","ordinary"
"1000","5","4001","5000","quietly_consolidated","0.762","0.179","0.059","0","0.28","-0.583","0.235","ordinary"
"1000","6","5001","6000","enclosure_dominant","0.737","0.175","0.045","0.043","0.337","-0.562","0.237","ordinary"
"1000","7","6001","7000","enclosure_dominant","0.655","0.235","0.062","0.048","0.32","-0.42","0.359","ordinary"
"1000","8","7001","8000","quietly_consolidated","0.93","0.046","0.014","0.01","0.155","-0.884","0.049","ordinary"
"1000","9","8001","9000","enclosure_dominant","0.738","0.19","0.052","0.02","0.325","-0.548","0.257","ordinary"
"1000","10","9001","10000","enclosure_dominant","0.611","0.258","0.102","0.029","0.357","-0.353","0.422","ordinary"
"1000","11","10001","11000","enclosure_dominant","0.68","0.216","0.074","0.03","0.36","-0.464","0.318","ordinary"
"1000","12","11001","12000","quietly_consolidated","0.906","0.066","0.018","0.01","0.157","-0.84","0.073","ordinary"
"1000","13","12001","13000","quietly_consolidated","0.882","0.084","0.02","0.014","0.16","-0.798","0.095","ordinary"
"1000","14","13001","14000","quietly_consolidated","0.883","0.08","0.029","0.008","0.177","-0.803","0.091","ordinary"
"1000","15","14001","15000","enclosure_dominant","0.677","0.222","0.047","0.054","0.299","-0.455","0.328","ordinary"
"1000","16","15001","16000","quietly_consolidated","0.914","0.06","0.015","0.011","0.138","-0.854","0.066","ordinary"
"1000","17","16001","17000","quietly_consolidated","0.841","0.106","0.041","0.012","0.134","-0.735","0.126","ordinary"
"1000","18","17001","18000","enclosure_dominant","0.678","0.217","0.091","0.014","0.196","-0.461","0.32","ordinary"
"1000","19","18001","19000","enclosure_dominant","0.723","0.189","0.033","0.055","0.325","-0.534","0.261","ordinary"
"1000","20","19001","20000","quietly_consolidated","0.892","0.077","0.031","0","0.161","-0.815","0.086","ordinary"
"1000","21","20001","21000","quietly_consolidated","0.81","0.134","0.047","0.009","0.178","-0.676","0.165","ordinary"
"1000","22","21001","22000","enclosure_dominant","0.725","0.185","0.057","0.033","0.256","-0.54","0.255","ordinary"
"1000","23","22001","23000","quietly_consolidated","0.827","0.138","0.028","0.007","0.174","-0.689","0.167","ordinary"
"1000","24","23001","24000","enclosure_dominant","0.703","0.198","0.076","0.023","0.251","-0.505","0.282","ordinary"
"1000","25","24001","25000","quietly_consolidated","0.855","0.116","0.016","0.013","0.172","-0.739","0.136","ordinary"
"1000","26","25001","26000","enclosure_dominant","0.636","0.276","0.073","0.015","0.305","-0.36","0.434","ordinary"
"1000","27","26001","27000","enclosure_dominant","0.659","0.236","0.105","0","0.196","-0.423","0.358","ordinary"
"1000","28","27001","28000","quietly_consolidated","0.938","0.057","0","0.005","0.101","-0.881","0.061","ordinary"
"1000","29","28001","29000","enclosure_dominant","0.684","0.224","0.066","0.026","0.324","-0.46","0.327","ordinary"
"1000","30","29001","30000","quietly_consolidated","0.887","0.091","0.012","0.01","0.2","-0.796","0.103","ordinary"
"1000","31","30001","31000","enclosure_dominant","0.709","0.2","0.073","0.018","0.273","-0.509","0.282","ordinary"
"1000","32","31001","32000","enclosure_dominant","0.601","0.284","0.072","0.043","0.396","-0.317","0.473","ordinary"
"1000","33","32001","33000","quietly_consolidated","0.821","0.136","0.022","0.021","0.195","-0.685","0.166","ordinary"
"1000","34","33001","34000","quietly_consolidated","0.908","0.082","0.005","0.005","0.146","-0.826","0.09","ordinary"
"1000","35","34001","35000","enclosure_dominant","0.72","0.198","0.062","0.02","0.242","-0.522","0.275","ordinary"
"1000","36","35001","36000","quietly_consolidated","0.809","0.14","0.02","0.031","0.242","-0.669","0.173","ordinary"
"1000","37","36001","37000","quietly_consolidated","0.925","0.056","0.005","0.014","0.111","-0.869","0.061","ordinary"
"1000","38","37001","38000","enclosure_dominant","0.509","0.307","0.123","0.061","0.366","-0.202","0.603","ordinary"
"1000","39","38001","39000","enclosure_dominant","0.6","0.276","0.07","0.055","0.439","-0.324","0.46","ordinary"
