"window","present","family_occurrences","exact_template_count","dominant_posture","stable_bracketed","stable_edge","middle_attached","residual_clustered","mixed"
"window_001","yes","1000","102","stable_bracketed","940","51","3","6","0"
"window_002","yes","1000","217","stable_bracketed","790","162","30","18","0"
"window_003","yes","1000","340","stable_bracketed","644","258","73","25","0"
"window_004","yes","1000","268","stable_bracketed","788","147","50","15","0"
"window_005","yes","1000","280","stable_bracketed","762","179","59","0","0"
"window_006","yes","1000","337","stable_bracketed","737","175","45","43","0"
"window_007","yes","1000","320","stable_bracketed","655","235","62","48","0"
"window_008","yes","1000","155","stable_bracketed","930","46","14","10","0"
"window_009","yes","1000","325","stable_bracketed","738","190","52","20","0"
"window_010","yes","1000","357","stable_bracketed","611","258","102","29","0"
"window_011","yes","1000","360","stable_bracketed","680","216","74","30","0"
"window_012","yes","1000","157","stable_bracketed","906","66","18","10","0"
"window_013","yes","1000","160","stable_bracketed","882","84","20","14","0"
"window_014","yes","1000","177","stable_bracketed","883","80","29","8","0"
"window_015","yes","1000","299","stable_bracketed","677","222","47","54","0"
"window_016","yes","1000","138","stable_bracketed","914","60","15","11","0"
"window_017","yes","1000","134","stable_bracketed","841","106","41","12","0"
"window_018","yes","1000","196","stable_bracketed","678","217","91","14","0"
"window_019","yes","1000","325","stable_bracketed","723","189","33","55","0"
"window_020","yes","1000","161","stable_bracketed","892","77","31","0","0"
"window_021","yes","1000","178","stable_bracketed","810","134","47","9","0"
"window_022","yes","1000","256","stable_bracketed","725","185","57","33","0"
"window_023","yes","1000","174","stable_bracketed","827","138","28","7","0"
"window_024","yes","1000","251","stable_bracketed","703","198","76","23","0"
"window_025","yes","1000","172","stable_bracketed","855","116","16","13","0"
"window_026","yes","1000","305","stable_bracketed","636","276","73","15","0"
"window_027","yes","1000","196","stable_bracketed","659","236","105","0","0"
"window_028","yes","1000","101","stable_bracketed","938","57","0","5","0"
"window_029","yes","1000","324","stable_bracketed","684","224","66","26","0"
"window_030","yes","1000","200","stable_bracketed","887","91","12","10","0"
"window_031","yes","1000","273","stable_bracketed","709","200","73","18","0"
"window_032","yes","1000","396","stable_bracketed","601","284","72","43","0"
"window_033","yes","1000","195","stable_bracketed","821","136","22","21","0"
"window_034","yes","1000","146","stable_bracketed","908","82","5","5","0"
"window_035","yes","1000","242","stable_bracketed","720","198","62","20","0"
"window_036","yes","1000","242","stable_bracketed","809","140","20","31","0"
"window_037","yes","1000","111","stable_bracketed","925","56","5","14","0"
"window_038","yes","1000","366","stable_bracketed","509","307","123","61","0"
"window_039","yes","660","290","stable_bracketed","396","182","46","36","0"
